Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%?,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Naz Mitrou-Long\mitrona01,SG,24,UTA,1,0,1,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3
2,Johnathan Motley\motlejo01,PF,22,DAL,2,0,2,1.5,1.5,1,0,0,,1.5,1.5,1,1,1.5,3,0.5,0,2,2,0,0,0.5,0,0,4.5
3,Marshall Plumlee\plumlma02,C,25,MIL,4,0,5,0.3,0.3,1,0,0,,0.3,0.3,1,1,2,2.5,0.8,0.5,1.8,2.3,0,0,0.3,0.5,1,2.5
4,Nick Collison\collini01,PF,37,OKC,8,0,5.5,0.6,0.8,0.833,0,0,,0.6,0.8,0.833,0.833,0.4,0.5,0.75,0.4,1,1.4,0.4,0,0,0.3,0.6,1.6
5,Adreian Payne\paynead01,PF,26,ORL,5,0,8.6,1.4,2,0.7,0.4,0.6,0.667,1,1.4,0.714,0.8,1,1.2,0.833,0.4,1.4,1.8,0,0.4,0,0.4,1.2,4.2
6,Ivan Rabb\rabbiv01,PF,20,MEM,12,1,10.2,2.1,3,0.694,0,0,,2.1,3,0.694,0.694,0.8,0.9,0.818,1.3,1.5,2.8,0.7,0,0.3,0.8,1.2,4.9
7,Andrew Bogut\bogutan01,C,33,LAL,24,5,9,0.7,1,0.68,0,0,,0.7,1,0.68,0.68,0.1,0.1,1,1.1,2.2,3.3,0.6,0.2,0.5,0.8,1.7,1.5
8,Willie Reed\reedwi02,C,27,LAC,39,5,10.7,2.1,3.1,0.667,0,0.1,0.5,2,3,0.669,0.671,0.8,1.4,0.582,0.9,2.2,3.1,0.2,0.2,0.6,0.5,1.4,4.9
9,Salah Mejri\mejrisa01,C,31,DAL,47,1,12.1,1.4,2.2,0.667,0,0,0,1.4,2.1,0.68,0.667,0.6,1.1,0.52,1.4,2.8,4.2,0.5,0.4,1.1,0.6,2.1,3.4
10,DeAndre Jordan\jordade01,C,29,LAC,45,45,32.1,4.8,7.3,0.665,0,0,,4.8,7.3,0.665,0.665,2.1,3.6,0.589,4.3,10.6,14.9,1.2,0.4,1,1.7,2.9,11.8
11,Jordan Bell\belljo01,C,23,GSW,38,11,14.4,2.3,3.4,0.664,0,0.1,0,2.3,3.4,0.68,0.664,0.5,0.8,0.667,1.2,2.7,3.9,1.8,0.7,1.1,1,1.9,5.1
12,Clint Capela\capelca01,C,23,HOU,44,44,26.7,6.1,9.2,0.659,0,0,0,6.1,9.2,0.661,0.659,2.1,3.5,0.594,3.2,7.6,10.8,1.1,0.8,1.7,1.6,2.8,14.2
13,Steven Adams\adamsst01,C,24,OKC,46,46,32.2,6,9.3,0.64,0,0,0,6,9.3,0.643,0.64,1.9,3.2,0.585,5.3,3.8,9.1,1,1.2,1,1.6,2.9,13.8
14,JaVale McGee\mcgeeja01,C,30,GSW,35,4,8.1,1.8,2.8,0.639,0,0.1,0,1.8,2.6,0.674,0.639,0.5,0.7,0.76,0.7,1.2,1.9,0.5,0.3,0.7,0.4,1.2,4.1
15,Jakob Poeltl\poeltja01,C,22,TOR,49,0,17.8,3,4.7,0.638,0,0,0.5,3,4.7,0.639,0.64,0.7,1.4,0.529,2.2,2.5,4.7,0.5,0.3,1.2,0.9,2.6,6.8
16,Brice Johnson\johnsbr02,PF,23,LAC,9,0,4.2,0.8,1.2,0.636,0,0.1,0,0.8,1.1,0.7,0.636,0.2,0.2,1,0.2,1.2,1.4,0.1,0.7,0.2,0.4,0.8,1.8
17,Kyle Collinsworth\colliky01,SF,26,DAL,11,0,10.5,0.9,1.5,0.625,0.2,0.3,0.667,0.7,1.2,0.615,0.688,0.5,1.1,0.417,0.4,2.2,2.5,0.8,0.6,0,0.5,1.2,2.5
18,Deyonta Davis\davisde01,C,21,MEM,36,1,12.5,2.1,3.4,0.621,0,0,,2.1,3.4,0.621,0.621,0.7,1,0.686,1.1,2.3,3.5,0.5,0.3,0.7,0.6,1.9,4.9
